Frequency (rad/s),Pxx
32.92224489737617,0.17243402363847093
32.98507360901238,0.050078531518925225
33.047902320648596,0.10423656077788687
33.11073103228481,0.0633757087061409
33.173559743921025,0.07601186475438991
33.23638845555723,0.06789625603541065
33.29921716719345,0.09006178936509547
33.36204587882966,0.07985390890297535
33.424874590465876,0.07533157242041874
33.48770330210209,0.08313643848114449
33.550532013738305,0.02227276219441038
33.61336072537452,0.09361724108709167
33.676189437010734,0.09885510987859926
33.73901814864695,0.04714227599240506
33.80184686028316,0.018729229982315115
33.86467557191938,0.0405342196146845
33.927504283555585,0.08922611714954651
33.9903329951918,0.14593904562733534
34.053161706828014,0.10427872133340185
34.11599041846423,0.06689059003486354
34.17881913010045,0.052948307543810316
34.241647841736665,0.05416847866904642
34.30447655337288,0.009641819740610487
34.367305265009094,0.0302169671347194
34.43013397664531,0.0230187623896171
34.49296268828152,0.05123526717802229
34.55579139991774,0.03371951985846838
34.618620111553945,0.022014359975037798
34.68144882319016,0.09096653696290023
34.744277534826374,0.1330032637803852
34.80710624646259,0.07334100570193976
34.8699349580988,0.06680502604363071
34.93276366973502,0.11270585402924108
34.99559238137123,0.13901250986068897
35.058421093007446,0.12439892167514956
35.12124980464366,0.10338797752571799
35.184078516279875,0.08143611335790799
35.24690722791609,0.06964765649577002
35.309735939552304,0.11602327688831891
35.37256465118851,0.03977572405635164
35.435393362824726,0.03641279661581461
35.49822207446094,0.1168205998033344
35.561050786097155,0.09477452252372148
35.62387949773337,0.04635502903206497
35.686708209369584,0.06371769948662552
35.7495369210058,0.06606397255065079
35.81236563264201,0.011894333615842391
35.87519434427823,0.06464070705337756
35.93802305591444,0.05024238874613262
36.00085176755066,0.030773586188912003
36.063680479186864,0.037594433131252596
36.12650919082308,0.031046345321956218
36.18933790245929,0.013838418491294429
36.25216661409551,0.05487925324293991
36.31499532573172,0.07977335235721433
36.37782403736794,0.0316914444637463
36.44065274900415,0.05152044467620549
36.503481460640366,0.057219231133868106
36.56631017227658,0.11196568441833117
36.629138883912795,0.15044847880163112
36.69196759554901,0.038075159355673314
36.754796307185224,0.07023475701627417
36.81762501882144,0.08858506816099221
36.88045373045765,0.05829329546381806
36.94328244209387,0.06756183615101106
37.00611115373008,0.06680579102348845
37.068939865366296,0.030964654081325777
37.13176857700251,0.03901658164099061
37.194597288638725,0.10452684836920144
37.25742600027494,0.09182825956752165
37.320254711911154,0.0412706912372505
37.38308342354737,0.038566905119468385
37.445912135183576,0.10327042561716573
37.50874084681979,0.08426644007497484
37.571569558456005,0.08277597255915126
37.63439827009222,0.09930275068299066
37.697226981728434,0.11735129094111738
37.76005569336465,0.04976802607303294
37.82288440500086,0.06313119069336048
37.88571311663708,0.08956389238727293
37.94854182827329,0.117749916322254
38.01137053990951,0.07840407432334746
38.07419925154572,0.12768130633901997
38.13702796318193,0.11923338646431669
38.19985667481814,0.11700882656833313
38.26268538645436,0.09492573027714662
38.32551409809057,0.009983082243157682
38.38834280972679,0.09416838395294798
38.451171521363,0.051351129219514846
38.514000232999216,0.037939241017463876
38.57682894463543,0.054052137458591686
38.639657656271645,0.00930723424860427
38.70248636790786,0.0474682300699507
38.765315079544074,0.054271609106114865
38.82814379118029,0.03363749430527835
38.8909725028165,0.08856477442228515
38.95380121445272,0.11826451566441668
39.01662992608893,0.03743447189823698
39.079458637725146,0.0377503686964523
39.14228734936136,0.05273594589931993
39.205116060997575,0.04340099451709406
39.26794477263379,0.017549346436963487
39.330773484270004,0.035379759767039075
39.39360219590622,0.036979733926166575
39.45643090754243,0.021972608097723414
39.51925961917864,0.04772874096153033
39.582088330814855,0.06271182916176311
39.64491704245107,0.08844129775845375
39.707745754087284,0.11533651449677043
39.7705744657235,0.07770195705350402
39.83340317735971,0.1055460738536067
39.89623188899593,0.12774177049930185
39.95906060063214,0.012990217727175839
40.02188931226836,0.025640925843607682
40.08471802390457,0.019770825486412597
40.147546735540786,0.02622875742684467
40.21037544717699,0.09398282368575353
40.27320415881321,0.032697965612937564
40.33603287044942,0.07530977463498813
40.39886158208564,0.08922201952185324
40.46169029372185,0.10795261666246234
40.524519005358066,0.07680192336004646
40.58734771699428,0.051995201300872686
40.650176428630495,0.09218748925547941
40.71300514026671,0.011999648129737967
40.775833851902924,0.08257491710015101
40.83866256353914,0.12736079029633568
40.90149127517535,0.13934144567059759
40.96431998681156,0.08494764845102867
41.027148698447775,0.05709435630603078
41.08997741008399,0.04434510585219823
41.152806121720204,0.0550541749822009
41.21563483335642,0.09689370580236968
41.27846354499263,0.07636718008066606
41.34129225662885,0.02296455300173434
41.40412096826506,0.05731434790289889
41.46694967990128,0.04077179392229931
41.5297783915375,0.028543084269577697
41.59260710317371,0.04831656605249246
41.65543581480992,0.025194255793085978
41.718264526446134,0.035372225173301776
41.78109323808235,0.058403049551348896
41.84392194971856,0.04429424212966004
41.90675066135478,0.039842724336824634
41.96957937299099,0.02555824194515134
42.03240808462721,0.054615948226497756
42.09523679626342,0.04139179451837812
42.158065507899636,0.03803882111322134
42.22089421953585,0.018141331170355213
42.283722931172065,0.03501648818672885
42.34655164280827,0.04534858188028066
42.40938035444449,0.06660652071315079
42.4722090660807,0.08393143044168108
42.535037777716916,0.10707815352849036
42.59786648935313,0.09285491372832051
42.660695200989345,0.041188689316923544
42.72352391262556,0.058749781615924646
42.786352624261774,0.08052413390969836
42.84918133589799,0.0642278309696987
42.9120100475342,0.026855219008298847
42.97483875917042,0.10215005347532079
43.037667470806625,0.11549081914584587
43.10049618244284,0.06008507434963053
43.163324894079054,0.04762874593045963
43.22615360571527,0.04617069029023589
43.28898231735148,0.025676694679530675
43.3518110289877,0.07929278511264726
43.41463974062391,0.05353442425040839
43.477468452260126,0.0476773177862187
43.54029716389634,0.06992368164784331
43.603125875532555,0.038900735518179325
43.66595458716877,0.012795270417003339
43.728783298804984,0.06142047996965321
43.7916120104412,0.05423870279298035
43.85444072207741,0.0403291138995782
43.91726943371363,0.06619664779567247
43.98009814534984,0.014295868127208155
44.04292685698606,0.03511233698061591
44.10575556862227,0.06513311087468426
44.168584280258486,0.0578359637415437
44.2314129918947,0.03411367592303598
44.294241703530915,0.03654587788513718
44.35707041516713,0.0739505203013552
44.41989912680334,0.06655692320926829
44.48272783843955,0.03532764817808726
44.545556550075766,0.007284949989548613
44.60838526171198,0.05745925663956978
44.671213973348195,0.058086837421999146
44.73404268498441,0.02139264549171125
44.796871396620624,0.03271663613477864
44.85970010825684,0.05690466306586247
44.92252881989305,0.050057410008771126
44.98535753152927,0.09545406658763551
45.04818624316548,0.1722115252227344
45.11101495480169,0.10716416473624996
45.173843666437904,0.10303109192221832
45.23667237807412,0.08232893013863436
45.29950108971033,0.03152898775065698
45.36232980134655,0.030213164519558806
45.42515851298276,0.04129497603142734
45.487987224618976,0.012846534771393383
45.55081593625519,0.02936714268436252
45.613644647891405,0.027756590906505115
45.67647335952762,0.04596103970252017
45.739302071163834,0.10484739435751976
45.80213078280005,0.0556710410121699
45.86495949443626,0.0448161386261153
45.92778820607248,0.030498591405020137
45.99061691770869,0.060961759399944644
46.05344562934491,0.04030470167496633
46.11627434098112,0.07773911325939394
