time,disturbance,avg_freq_dev
25.959999999999535,80,-0.28113580099967095
25.979999999999535,80,-0.28058317745183814
25.999999999999535,80,-0.28003052888966806
26.019999999999534,80,-0.2794778728127625
26.039999999999534,80,-0.2789252266885853
26.059999999999533,80,-0.2783726079087927
26.079999999999533,80,-0.2778200337467638
26.099999999999532,80,-0.27726752131697907
26.119999999999532,80,-0.2767150875364024
26.13999999999953,80,-0.27616274908812244
26.15999999999953,80,-0.2756105223876304
26.17999999999953,80,-0.2750584235518332
26.19999999999953,80,-0.2745064683712002
26.21999999999953,80,-0.2739546722850008
26.23999999999953,80,-0.2734030503599598
26.25999999999953,80,-0.2728516172724085
26.27999999999953,80,-0.27230038729403105
26.299999999999528,80,-0.271749374281157
26.319999999999528,80,-0.2711985916678472
26.339999999999527,80,-0.27064805246257606
26.359999999999527,80,-0.27009776924862194
26.379999999999526,80,-0.26954775418790433
26.399999999999526,80,-0.268998019028416
26.419999999999526,80,-0.26844857511493814
26.439999999999525,80,-0.26789943340297384
26.459999999999525,80,-0.2673506044756806
26.479999999999524,80,-0.2668020985635664
26.499999999999524,80,-0.2662539255668932
26.519999999999524,80,-0.2657060950801835
26.539999999999523,80,-0.26515861641900784
26.559999999999523,80,-0.2646114986484207
26.579999999999522,80,-0.26406475061286017
26.599999999999522,80,-0.26351838096728386
26.61999999999952,80,-0.2629723982090866
26.63999999999952,80,-0.2624268107106076
26.65999999999952,80,-0.2618816267518156
26.67999999999952,80,-0.26133685455289424
26.69999999999952,80,-0.2607925023064013
26.71999999999952,80,-0.26024857820870295
26.73999999999952,80,-0.25970509049039237
26.75999999999952,80,-0.25916204744537197
26.779999999999518,80,-0.2586194574583942
26.799999999999518,80,-0.25807732903074054
26.819999999999517,80,-0.257535670803847
26.839999999999517,80,-0.2569944915806275
26.859999999999516,80,-0.256453800344417
26.879999999999516,80,-0.2559136062752003
26.899999999999515,80,-0.25537391876312654
26.919999999999515,80,-0.2548347474191459
26.939999999999515,80,-0.2542961020826624
26.959999999999514,80,-0.25375799282625877
26.979999999999514,80,-0.253220429957274
26.999999999999513,80,-0.25268342401641064
27.019999999999513,80,-0.2521469857733578
27.039999999999512,80,-0.2516111262194016
27.059999999999512,80,-0.2510758565571862
27.07999999999951,80,-0.2505411881877251
27.09999999999951,80,-0.2500071326948259
27.11999999999951,80,-0.24947370182687223
27.13999999999951,80,-0.248940907476495
27.15999999999951,80,-0.24840876165800552
27.17999999999951,80,-0.2478772764829813
27.19999999999951,80,-0.247346464134111
27.21999999999951,80,-0.2468163368376679
27.239999999999508,80,-0.2462869068347544
27.259999999999508,80,-0.24575818635157987
27.279999999999507,80,-0.24523018756914894
27.299999999999507,80,-0.244702922592424
27.319999999999506,80,-0.2441764034194307
27.339999999999506,80,-0.24365064191047736
27.359999999999506,80,-0.24312564975772233
27.379999999999505,80,-0.2426014384554307
27.399999999999505,80,-0.24207801927111205
27.419999999999504,80,-0.2415554032177596
27.439999999999504,80,-0.24103360102749605
27.459999999999503,80,-0.24051262312683264
27.479999999999503,80,-0.23999247961356218
27.499999999999503,80,-0.23947318023576258
27.519999999999502,80,-0.23895473437284664
27.5399999999995,80,-0.23843715101889273
27.5599999999995,80,-0.23792043876833446
27.5799999999995,80,-0.23740460580418699
27.5999999999995,80,-0.23688965988878863
27.6199999999995,80,-0.23637560835716442
27.6399999999995,80,-0.23586245811311102
27.6599999999995,80,-0.23535021562781822
27.6799999999995,80,-0.23483888694123323
27.6999999999995,80,-0.23432847766596865
27.719999999999498,80,-0.23381899299378972
27.739999999999498,80,-0.23331043770456006
27.759999999999497,80,-0.23280281617747534
27.779999999999497,80,-0.23229613240464886
27.799999999999496,80,-0.23179039000666535
27.819999999999496,80,-0.23128559225017398
27.839999999999495,80,-0.23078174206712276
