w_stab,mag_stab
0.00033346180157863627,4810.645954266445
0.0003460016392185109,4636.29788081318
0.00035901303770070685,4468.268553533671
0.00037251373008002095,4306.328967584819
0.00038652211626312617,4150.258417747628
0.0004010572880855496,3999.844197631138
0.0004161390553316707,3854.881309777847
0.00043178797273320214,3715.172186275477
0.00044802536798294897,3580.526419494439
0.0004648733708020257,3450.760502583897
0.00048235494310014675,3325.6975793728084
0.0005004939102700954,3205.1672033351333
0.0005193149936590213,3089.0051052905897
0.0005388438442608224,2977.0529695244754
0.0005591070776755293,2869.158218021387
0.0005801323103833379,2765.1738025187237
0.0006019481973827274,2664.9580040966785
0.0006245844712439618,2568.374240031471
0.0006480719826311971,2475.2908776486347
0.0006724427423484249,2385.5810549226967
0.0006977299649665538,2299.12250757865
0.0007239681140910877,2215.7974024596797
0.0007511929493320969,2135.4921769339935
0.0007794415750404951,2058.0973841218615
0.0008087524908770458,1983.5075437320013
0.0008391656442830162,1911.62099830394
0.0008707224849239922,1842.3397746604637
0.0009034660211810525,1775.569450381352
0.0009374408787662991,1711.219025116335
0.0009726933615426169,1649.200796562014
0.0010092715146305707,1589.4302409335778
0.0010472251898884343,1531.8258977685266
0.001086606113854597,1476.3092589053174
0.0011274679582449461,1422.8046614856937
0.001169866413101307,1371.2391848348163
0.0012138592626906278,1321.5425510786874
0.0012595064642583577,1273.6470293634081
0.0013068702297433464,1227.4873435457366
0.0013560151105656334,1183.0005832291367
0.001407008085602685,1140.1261180240695
0.0014599186524739786,1098.8055149156737
0.0015148189222583457,1058.9824586262218
0.0015717837177731627,1020.6026748638055
0.0016308906755493327,983.6138563526556
0.0016922203516410374,947.9655915442808
0.0017558563314144689,913.6092959122657
0.0018218853434651652,880.4981457370941
0.0018903973778192195,848.587014290746
0.0019614858085794293,817.8324103341107
0.002035247521183576,788.1924188433755
0.0021117830444482423,759.6266438846216
0.0021911966875781475,732.0961535587642
0.0022735966823277153,705.5634269418075
0.0023590953305086338,679.9923029480965
0.0024478091570444404,655.3479310468741
0.002539859068780724,631.5967237649754
0.002635370519267393,608.7063109109262
0.00273447367973758,586.6454954580562
0.0028373036165162116,565.3842110265048
0.0029440004751000335,544.8934809061669
0.003054709671159968,525.1453785647377
0.003169582088726115,506.11298958702673
0.00328877428582551,487.7703749936756
0.0034124487078528894,470.0925358892815
0.00354077390896527,453.05537939174906
0.0036739247818020743,436.6356857964351
0.003812082795843888,420.8110769303344
0.003955436244734702,405.5599856531782
0.004104180502904709,390.86162646387686
0.004258518291843414,376.6959671722485
0.004418659956385941,363.04370159742456
0.004584823751389096,349.886223255723
0.004757236139187885,337.2056000021299
0.004936132098237912,324.984549590826
0.005121755443364236,313.2064161214551
0.005314359158053236,301.8551473390269
0.005514205739240296,290.91527275652146
0.005721567555063246,280.37188257037616
0.00593672721606912,270.21060734012167
0.006159977960380162,260.4175984044699
0.006391624053343999,250.97950900716563
0.006631981202212669,241.8834761068772
0.006881376986415663,233.11710284633554
0.007140151304013396,224.66844165682923
0.00740865683493956,216.52597797502838
0.007687259521663728,208.6786145499459
0.007976339067929272,201.11565631864775
0.008276289456246344,193.82679583009968
0.008587519484845171,186.80209919728517
0.008910453324821512,180.03199255844822
0.00924553109823357,173.5072490290098
0.009593209477938241,167.21897612637474
0.009953962309984233,161.15860365049016
0.010328281259410285,155.31787200363868
0.010716676480328632,149.68882093354694
0.011119677311206989,144.26377868446812
0.011537832996296609,139.0353515414523
0.011971713434189657,133.99641375355472
0.012421909954526161,129.14009782224815
0.012889036123908916,124.459785141805
0.01337372858212495,119.94909697889061
0.013876647909813071,115.60188577907617
0.014398479528760066,111.41222678842192
0.014939934636052562,107.37440997871197
0.015501751173357689,103.48293226533602
0.01608469483265355,99.7324900072115
0.016689560099780232,96.11797177852456
0.01731717133723353,92.63445140243887
0.01796838390767719,89.27718123727686
0.018644085339704852,86.0415857060254
0.01934519653744044,82.92325506034445
0.020072673035625682,79.91793937058286
0.020827506301905142,77.02154273360755
0.021610725088083763,74.23011769055404
0.02242339683219845,71.53985984688963
0.02326662911331458,68.94710268745649
0.02414157116103018,66.44831257942923
0.025049415421745023,64.04008395637503
0.02599139918382933,61.71913467685517
0.026968806263906926,59.48230155123944
0.02798296875655116,57.32653603063872
0.02903526884977814,55.24890005208003
0.03012714070881164,53.24656203426156
0.03126007243068701,51.316793018429095
0.03243560807235808,49.45696294911614
0.03365534975507091,47.66453708967812
0.034920959847872676,45.93707256773441
0.03623416323323146,44.27221504581169
0.03759674965785464,42.6676955126499
0.039010576171909894,41.121327190798304
0.04047756965997318,39.63100255628662
0.04199972946715302,38.19469046630996
0.04357913012397025,36.810433391012346
0.04521792417370697,35.47634474559642
0.04691834510607794,34.1906063191231
0.04868271040122279,32.95146579649709
0.050513424688167614,31.757234370260978
0.052412983022060565,30.60628443894281
0.05438397428464796,29.497047388820693
0.056429084712625366,28.428011456080768
0.05855110155867238,27.397719666455405
0.06075291689016071,26.404767849533
0.06303753153071275,25.447802725033654
0.06540805914998253,24.525520058442133
0.06786773050723295,23.636662883484856
0.07041989785449289,22.780019789027822
0.073068039505295,21.954423268061234
0.0758157645752211,21.15874812652034
0.07866681790071582,20.391909949773996
0.0816250851428722,19.652863624691097
0.08469459808314576,18.940601915270147
0.0878795401182131,18.254154089891532
0.09118425196146562,17.59258459832061
0.0946132375589076,16.954991796659407
0.09817117022752184,16.340506718508546
0.10186289902446866,15.748291890664985
0.10569345535579873,15.177540191741459
0.10966805983368674,14.6274737521518
0.1137921293915314,14.097342893963381
0.11807128466661891,13.586425109171321
0.12251135766041178,13.094024075002435
0.12711839968690275,12.619468704906502
0.13189868961986692,12.162112233941732
0.13685874245025179,11.721331337307745
0.14200531816536818,11.296525280824907
0.14734543096198344,10.887115102201964
0.15288635880587295,10.49254282197637
0.15863565335085897,10.112270683051843
0.16460115023085498,9.74578041779662
0.1707909797389427,9.3925725417037
0.17721357790803585,9.052165672650323
0.1838776980082327,8.724095874828949
0.1907924224765265,8.407916026455553
0.19796717529513327,8.103195210393558
0.20541173483530642,7.809518126862827
0.21313624718414376,7.5264845274333405
0.22115123997254887,7.253708669532164
0.22946763672319362,6.990818790720232
0.23809677173803584,6.737456602022467
0.24705040554568256,6.493276799620701
0.2563407409296515,6.257946594243884
0.26598043955937584,6.031145257614186
0.27598263924661803,5.812563685330885
0.2863609718508116,5.6019039755962465
0.2971295818577334,5.398879023209296
0.3083031456568277,5.203212128274113
0.3198968915434538,5.014636619089377
0.3319266204733183,4.832895488705209
0.34440872759738167,4.657741044651918
0.3573602246065781,4.488934571363424
0.3707987629168165,4.326246004835076
0.3847426577258498,4.1694536190726295
0.39921091297480454,4.018343723904938
0.41422324724838894,3.872710373748598
0.42980012064907896,3.7323550869275537
0.44596276268190865,3.5970865751651737
0.46273320118786837,3.46672048288011
0.48013429236534455,3.341079135930623
0.4981897519205155,3.2199912994649593
0.5169241873891594,3.103291944547743
0.5363631316739235,2.9908220232443252
0.5565330778427641,2.8824282518565547
0.5774615152359814,2.77796290201455
0.5991769669310613,2.6772835993397504
0.6217090286163821,2.580253129404845
0.6450884089267687,2.486739250726133
0.6693469712958654,2.396614514533436
0.6945177773823689,2.309756091071932
0.7206351321293045,2.226045602199184
0.747734630517758,2.1453689600492147
0.7758532060787828,2.0676162115437253
0.8050291812295973,1.9926813885385755
0.8353023195026771,1.920462363401261
0.8667138797389224,1.8508607098225822
0.8993066723187614,1.7837815686727894
0.933125117507824,1.7191335187193864
0.9682153059967076,1.6568284520304013
1.0046250617173402,1.5967814538933056
1.042404007021556,1.5389106870859273
1.0816036303107095,1.4831372803416363
1.122277356208507,1.4293852208567854
1.1644806183726855,1.377581250693914
1.208270935044776,1.3276547669395187
1.2537079874409196,1.279537725480322
1.3008537010905705,1.2331645482668907
1.3497723302339417,1.188472033938222
1.4005305453932198,1.145399271685483
1.4531975242368953,1.1038875582375136
1.507845045861051,1.0638803178549499
1.5645475886160958,1.025323025223934
1.6233824316122782,0.9881631311443185
1.6844297600423153,0.9523499909110886
1.747772774464681,0.9178347952913964
1.8134978041964953,0.8845705040031316
1.8816944249705556,0.8525117816043739
1.952455581016861,0.8216149357063468
2.025877711735017,0.7918378574256657
2.1020608831301586,0.7631399639947237
2.1811089241915154,0.7354821434520021
2.263129568399525,0.7088267013369127
2.348234600554272,0.6831373093165489
2.436540009125461,0.6583789556742983
2.5281661443314953,0.6345178975928595
2.623237882163118,0.6115216151666248
2.721884794575174,0.5893587670807505
2.82424132607843,0.5679991478965131
2.930446976972138,0.5474136468847354
3.0406464934670625,0.5275742083511765
3.154990064958082,0.5084537933998152
3.2736335287152407,0.4900263430819125
3.3967385822722025,0.47226674288063125
3.5244730038015804,0.45515078848280976
3.6570108807774857,0.4386551527912376
3.7945328472369346,0.42275735413247834
3.937226329963475,0.40743572561690855
4.085285803928557,0.392669385609213
4.238913057338775,0.378438209269094
4.398317466650219,0.364722801123405
4.563716281924754,0.3515044686323284
4.7353349229171116,0.33876519671357275
