w_Gen1,mag_Gen1,w_k2a_Gen1,mag_k2a_Gen1,w_Gen2,mag_Gen2,w_k2a_Gen2,mag_k2a_Gen2,w_Gen3,mag_Gen3,w_k2a_Gen3,mag_k2a_Gen3,w_Gen4,mag_Gen4,w_k2a_Gen4,mag_k2a_Gen4
1.4465073385216472e-05,0.7882786753289439,1.4465073385216472e-05,0.902500257455491,1.4465073385216472e-05,0.7882786753289439,1.4465073385216472e-05,0.902500257455491,1.4465073385216472e-05,0.7882786753584999,1.4465073385216472e-05,0.902500257461419,1.4465073385216472e-05,0.7882786753289439,1.4465073385216472e-05,0.902500257455491
1.5009032755797366e-05,0.7882786924209145,1.5009032755797366e-05,0.9025002771828058,1.5009032755797366e-05,0.7882786924209145,1.5009032755797366e-05,0.9025002771828058,1.5009032755797366e-05,0.7882786924527353,1.5009032755797366e-05,0.9025002771891882,1.5009032755797366e-05,0.7882786924209145,1.5009032755797366e-05,0.9025002771828058
1.557344772926135e-05,0.7882787108225435,1.557344772926135e-05,0.9025002984217103,1.557344772926135e-05,0.7882787108225435,1.557344772926135e-05,0.9025002984217103,1.557344772926135e-05,0.7882787108568021,1.557344772926135e-05,0.9025002984285824,1.557344772926135e-05,0.7882787108225435,1.557344772926135e-05,0.9025002984217103
1.615908753895919e-05,0.7882787306341821,1.615908753895919e-05,0.9025003212880286,1.615908753895919e-05,0.7882787306341821,1.615908753895919e-05,0.9025003212880286,1.615908753895919e-05,0.7882787306710655,1.615908753895919e-05,0.9025003212954268,1.615908753895919e-05,0.7882787306341821,1.615908753895919e-05,0.9025003212880286
1.676675034527701e-05,0.7882787519638711,1.676675034527701e-05,0.9025003459064591,1.676675034527701e-05,0.7882787519638711,1.676675034527701e-05,0.9025003459064591,1.676675034527701e-05,0.7882787520035811,1.676675034527701e-05,0.902500345914425,1.676675034527701e-05,0.7882787519638711,1.676675034527701e-05,0.9025003459064591
1.7397264323438025e-05,0.7882787749279303,1.7397264323438025e-05,0.9025003724112574,1.7397264323438025e-05,0.7882787749279303,1.7397264323438025e-05,0.9025003724112574,1.7397264323438025e-05,0.7882787749706827,1.7397264323438025e-05,0.9025003724198329,1.7397264323438025e-05,0.7882787749279303,1.7397264323438025e-05,0.9025003724112574
1.80514887922111e-05,0.788278799651591,1.80514887922111e-05,0.9025004009469642,1.80514887922111e-05,0.788278799651591,1.80514887922111e-05,0.9025004009469642,1.80514887922111e-05,0.7882787996976198,1.80514887922111e-05,0.9025004009561961,1.80514887922111e-05,0.788278799651591,1.80514887922111e-05,0.9025004009469642
1.8730315385064383e-05,0.7882788262696824,1.8730315385064383e-05,0.9025004316691955,1.8730315385064383e-05,0.7882788262696824,1.8730315385064383e-05,0.9025004316691955,1.8730315385064383e-05,0.7882788263192376,1.8730315385064383e-05,0.9025004316791351,1.8730315385064383e-05,0.7882788262696824,1.8730315385064383e-05,0.9025004316691955
1.943466926536022e-05,0.7882788549273627,1.943466926536022e-05,0.9025004647454926,1.943466926536022e-05,0.7882788549273627,1.943466926536022e-05,0.9025004647454926,1.943466926536022e-05,0.7882788549807156,1.943466926536022e-05,0.9025004647561942,1.943466926536022e-05,0.7882788549273627,1.943466926536022e-05,0.9025004647454926
2.0165510387247484e-05,0.7882788857809149,2.0165510387247484e-05,0.9025005003562335,2.0165510387247484e-05,0.7882788857809149,2.0165510387247484e-05,0.9025005003562335,2.0165510387247484e-05,0.7882788858383554,2.0165510387247484e-05,0.9025005003677553,2.0165510387247484e-05,0.7882788857809149,2.0165510387247484e-05,0.9025005003562335
2.092383480396979e-05,0.7882789189985945,2.092383480396979e-05,0.9025005386956189,2.092383480396979e-05,0.7882789189985945,2.092383480396979e-05,0.9025005386956189,2.092383480396979e-05,0.7882789190604366,2.092383480396979e-05,0.9025005387080235,2.092383480396979e-05,0.7882789189985945,2.092383480396979e-05,0.9025005386956189
2.1710676025372672e-05,0.7882789547615521,2.1710676025372672e-05,0.9025005799727281,2.1710676025372672e-05,0.7882789547615521,2.1710676025372672e-05,0.9025005799727281,2.1710676025372672e-05,0.7882789548281334,2.1710676025372672e-05,0.9025005799860835,2.1710676025372672e-05,0.7882789547615521,2.1710676025372672e-05,0.9025005799727281
