time,freq,avg_freq,p_bus_7,p_bus_9
819.139999999545,[49.98685027 49.98674949 49.98689263 49.98686835],49.98684018299531,973.2502144061235,1766.9999999999955
819.159999999545,[49.98681265 49.98669934 49.9868576  49.98682798],49.98679939078028,973.2452000304934,1767.0000000000027
819.179999999545,[49.98677444 49.98665122 49.98682194 49.98678772],49.986758830561485,973.2434248646119,1767.000000000001
819.199999999545,[49.98673517 49.98660461 49.98678548 49.98674734],49.98671814843482,973.2676847916969,1767.0000000000061
819.2199999995449,[49.98669291 49.9865571  49.98674732 49.98670578],49.98667577613373,973.3974190536346,1766.9999999999977
819.2399999995449,[49.98665013 49.9865119  49.98670845 49.98666434],49.98663370416184,973.253954307587,1767.0000000000082
819.2599999995449,[49.98661027 49.98647328 49.98667047 49.98662509],49.98659477991937,973.1433413441943,1766.9999999999943
819.2799999995449,[49.98657431 49.98644232 49.98663384 49.98658856],49.98655975510222,972.935835846662,1767.000000000007
819.2999999995449,[49.98653997 49.9864158  49.98659761 49.98655346],49.986526710534825,972.9857754863381,1766.9999999999986
819.3199999995448,[49.98650424 49.98638975 49.98656036 49.98651792],49.98649306804746,972.9948261672649,1767.000000000001
819.3399999995448,[49.98646838 49.98636552 49.98652263 49.98648258],49.98645977640483,972.9646062154029,1766.9999999999968
819.3599999995448,[49.98643443 49.98634541 49.98648533 49.98644855],49.98642842757465,972.8393154665812,1766.9999999999995
819.3799999995448,[49.98640443 49.9863316  49.98644946 49.98641695],49.98640061105132,972.674759838846,1767.0000000000045
819.3999999995448,[49.98637717 49.98632209 49.98641456 49.98638708],49.98637522400122,972.6415896745837,1767.0000000000061
819.4199999995448,[49.98634662 49.98630881 49.98637801 49.98635537],49.9863472036084,972.9027019275401,1767.0
819.4399999995447,[49.98630918 49.98628697 49.98633805 49.98631955],49.98631343635772,973.1318970240685,1767.0000000000084
819.4599999995447,[49.98626781 49.98626011 49.98629595 49.9862812 ],49.98627626718904,973.1961463272708,1766.9999999999943
819.4799999995447,[49.98622442 49.98623029 49.98625261 49.98624135],49.98623716768295,973.3016425853216,1766.999999999993
819.4999999995447,[49.98617622 49.98619372 49.9862068  49.98619834],49.98619376908873,973.5653787030492,1766.999999999992
819.5199999995447,[49.98612001 49.98614617 49.98615699 49.98615017],49.986143335861506,973.901581315341,1767.0000000000014
819.5399999995446,[49.98605967 49.98609257 49.98610475 49.98609892],49.98608897797533,973.9043498223036,1766.9999999999995
819.5599999995446,[49.98599804 49.98603628 49.98605143 49.98604623],49.9860329959367,974.0470256759528,1767.0
819.5799999995446,[49.98593075 49.98597168 49.98599502 49.98598951],49.98597173981618,974.35711259601,1766.9999999999966
819.5999999995446,[49.98586151 49.98590362 49.98593696 49.9859307 ],49.98590819902223,974.2488078490788,1767.0000000000002
819.6199999995446,[49.98579488 49.98583774 49.98587939 49.9858725 ],49.985846126014,974.2428835691506,1766.9999999999961
819.6399999995446,[49.98572895 49.98577159 49.98582142 49.98581377],49.98578393261067,974.2679587056076,1767.0000000000095
819.6599999995445,[49.98566488 49.98570666 49.9857635  49.98575509],49.9857225298426,974.1851918758981,1766.9999999999984
819.6799999995445,[49.98559992 49.98563943 49.98570445 49.98569492],49.98565967860444,974.3982928349892,1766.9999999999993
819.6999999995445,[49.98553447 49.98557063 49.98564425 49.98563333],49.98559566834815,974.2913617072644,1767.0000000000052
819.7199999995445,[49.98547242 49.98550519 49.98558471 49.98557263],49.98553373813453,974.2315675140544,1767.0000000000036
819.7399999995445,[49.98541335 49.98544264 49.98552565 49.98551259],49.98547355683691,974.1521054862303,1767.0000000000034
819.7599999995444,[49.98535455 49.98537957 49.98546589 49.9854517 ],49.98541292939779,974.2765982055043,1767.0000000000034
819.7799999995444,[49.98529682 49.98531719 49.98540569 49.98539034],49.985352509769,974.1421128100259,1766.999999999993
819.7999999995444,[49.98523734 49.98525188 49.98534393 49.98532702],49.98529004011416,974.456174035453,1766.9999999999925
819.8199999995444,[49.98517754 49.98518585 49.98528101 49.9852624 ],49.98522670184072,974.2226912665515,1767.0000000000045
819.8399999995444,[49.98512657 49.98513071 49.98522122 49.98520197],49.98517011696332,973.8948362203422,1767.0000000000011
819.8599999995444,[49.9850766  49.98507632 49.9851613  49.98514142],49.9851139115945,974.1966760191121,1767.0000000000045
819.8799999995443,[49.98501644 49.9850088  49.98509609 49.98507419],49.98504888018499,974.6437030195435,1766.9999999999984
819.8999999995443,[49.98495527 49.98494025 49.98502943 49.9850054 ],49.984982587114175,974.3099413383765,1766.9999999999995
819.9199999995443,[49.98489538 49.98487338 49.98496273 49.98493675],49.98491705935772,974.5857825249484,1767.0000000000064
819.9399999995443,[49.98483182 49.98480223 49.9848936  49.98486527],49.98484822793928,974.5946692469715,1767.0000000000011
819.9599999995443,[49.98476616 49.98472889 49.98482283 49.984792  ],49.98477746916052,974.7546736942015,1767.0000000000068
819.9799999995442,[49.98469766 49.98465261 49.98475003 49.98471652],49.98470420603425,974.81228605708,1766.9999999999993
819.9999999995442,[49.98463552 49.9845853  49.98467931 49.98464417],49.98463607459617,974.3297676641562,1766.9999999999993
820.0199999995442,[49.98457921 49.98452599 49.98461081 49.98457499],49.984572750847406,974.4134279311085,1767.0000000000002
820.0399999995442,[49.9845204  49.98446425 49.98454073 49.98450412],49.98450737530394,974.5077797904041,1766.999999999998
820.0599999995442,[49.98446011 49.98440148 49.98446951 49.98443216],49.98444081884335,974.5181571191795,1766.9999999999968
820.0799999995442,[49.98439613 49.98433485 49.98439624 49.98435792],49.984371286058746,974.763463869913,1767.0000000000014
