1.031059871083880530e+00 1.011670030723863301e+00 1.029952388547742625e+00 1.009842915118621232e+00 1.008008739029992329e+00 9.806311559938383215e-01 9.645997292754463492e-01 9.514291564255696887e-01 9.712128499560280792e-01 9.833916344981433744e-01 1.008245690362389757e+00
1.031113459167062318e+00 1.011831509535880969e+00 1.029979681276724790e+00 1.009892944430919481e+00 1.008149071929992369e+00 9.809660884643428558e-01 9.651888341271994687e-01 9.519192048009913476e-01 9.713219609930655585e-01 9.834664271309683237e-01 1.008289466839090709e+00
1.030875361891781195e+00 1.011579771956632401e+00 1.029712345709103749e+00 1.009818540482230187e+00 1.007853729809279120e+00 9.806999593879265342e-01 9.650657885966722471e-01 9.520615659365354588e-01 9.724216335370750031e-01 9.837935510819552087e-01 1.008141905411427786e+00
1.030809244319504048e+00 1.011563677116243953e+00 1.029643732838242842e+00 1.009858367146732938e+00 1.007802954193951273e+00 9.807480176662888294e-01 9.652798281109531420e-01 9.523442697106975219e-01 9.729283322843034210e-01 9.839865427707602530e-01 1.008128761435450826e+00
1.030795967565453219e+00 1.011471415283144548e+00 1.029641873419199216e+00 1.009900449179945259e+00 1.007697651449918297e+00 9.804451544075533098e-01 9.646999270694519568e-01 9.519273340342392364e-01 9.730325104000611125e-01 9.840314123784570377e-01 1.008130628130887940e+00
1.030849802986273822e+00 1.011753571075063363e+00 1.029713715555541587e+00 1.010050596216331975e+00 1.007940026700056446e+00 9.811343300602732853e-01 9.659990897913356411e-01 9.530187918088428578e-01 9.733446662669507088e-01 9.842403217078083966e-01 1.008245168638584488e+00
1.030802040148620424e+00 1.011934656052579706e+00 1.029658252115849049e+00 1.010152389564046294e+00 1.008055403034230357e+00 9.817159270612316746e-01 9.672635087441864288e-01 9.541774705765235787e-01 9.741279095402668453e-01 9.845776817734104291e-01 1.008281462767960823e+00
1.030774509562409014e+00 1.012000530297749501e+00 1.029613432413545970e+00 1.010238030877874449e+00 1.008062063158005728e+00 9.818731928606724280e-01 9.676479657013871138e-01 9.546092863902594372e-01 9.747156295404885151e-01 9.848237733431444152e-01 1.008298052943981560e+00
1.030974781644670824e+00 1.012431120318568967e+00 1.029811350764142874e+00 1.010466508995854884e+00 1.008438682241168394e+00 9.826124914232573504e-01 9.688204770443017422e-01 9.555334237484872650e-01 9.746903567140400293e-01 9.849621947898188346e-01 1.008499100789851166e+00
1.031240267481578599e+00 1.012712852291701493e+00 1.030043682254799808e+00 1.010641351283755318e+00 1.008696818907887538e+00 9.827500791365634258e-01 9.686837935503761488e-01 9.553377430262351977e-01 9.742042166997446628e-01 9.848959414939293389e-01 1.008672664575029909e+00
1.031068549044404703e+00 1.012338805758907112e+00 1.029821866911970307e+00 1.010562846009470883e+00 1.008289290826130724e+00 9.819273550283598162e-01 9.673574304109540112e-01 9.544700156815874026e-01 9.749726844847016460e-01 9.850819737704394896e-01 1.008514495038780101e+00
